field,query,expected,predicted
end_date,"Couple vacation to Rome (2025-06-21–2025-06-29) with $1500 for 2 people, prefer hostel, focusing on beaches, shopping, relaxation.",2025-06-29,2025-11-06
trip_duration,"Couple vacation to Rome (2025-06-21–2025-06-29) with $1500 for 2 people, prefer hostel, focusing on beaches, shopping, relaxation.",8,2
start_date,"Couple vacation to Rome (2025-06-21–2025-06-29) with $1500 for 2 people, prefer hostel, focusing on beaches, shopping, relaxation.",2025-06-21,2025-11-05
end_date,"Couple vacation to Rome (2025-06-21–2025-06-29) with $1500 for 2 people, prefer hostel, focusing on beaches, shopping, relaxation.",2025-06-29,2025-11-06
trip_duration,"Couple vacation to Rome (2025-06-21–2025-06-29) with $1500 for 2 people, prefer hostel, focusing on beaches, shopping, relaxation.",8,2
start_date,"Couple vacation to Cape Town (2025-09-04–2025-09-07) with $800 for 2 people, prefer hotel, focusing on photography.",2025-09-04,2025-11-05
end_date,"Couple vacation to Cape Town (2025-09-04–2025-09-07) with $800 for 2 people, prefer hotel, focusing on photography.",2025-09-07,2025-11-06
start_date,"Couple vacation to Cape Town (2025-09-04–2025-09-07) with $800 for 2 people, prefer hotel, focusing on photography.",2025-09-04,2025-11-05
end_date,"Couple vacation to Cape Town (2025-09-04–2025-09-07) with $800 for 2 people, prefer hotel, focusing on photography.",2025-09-07,2025-11-06
start_date,"Couple trip to Cape Town (2025-09-04–2025-09-07) with $800 for 2 people, prefer hotel, focusing on photography.",2025-09-04,2025-11-05
end_date,"Couple trip to Cape Town (2025-09-04–2025-09-07) with $800 for 2 people, prefer hotel, focusing on photography.",2025-09-07,2025-11-06
start_date,"Solo vacation to New York (2025-01-26–2025-02-03) with $1500 for 1 people, prefer Airbnb, focusing on photography.",2025-01-26,2025-11-05
end_date,"Solo vacation to New York (2025-01-26–2025-02-03) with $1500 for 1 people, prefer Airbnb, focusing on photography.",2025-02-03,2025-11-06
trip_duration,"Solo vacation to New York (2025-01-26–2025-02-03) with $1500 for 1 people, prefer Airbnb, focusing on photography.",8,2
start_date,"Solo vacation to New York (2025-01-26–2025-02-03) with $1500 for 1 people, prefer Airbnb, focusing on photography.",2025-01-26,2025-11-05
end_date,"Solo vacation to New York (2025-01-26–2025-02-03) with $1500 for 1 people, prefer Airbnb, focusing on photography.",2025-02-03,2025-11-06
trip_duration,"Solo vacation to New York (2025-01-26–2025-02-03) with $1500 for 1 people, prefer Airbnb, focusing on photography.",8,2
start_date,"Solo trip to New York (2025-01-26–2025-02-03) with $1500 for 1 people, prefer Airbnb, focusing on photography.",2025-01-26,2025-11-05
end_date,"Solo trip to New York (2025-01-26–2025-02-03) with $1500 for 1 people, prefer Airbnb, focusing on photography.",2025-02-03,2025-11-06
trip_duration,"Solo trip to New York (2025-01-26–2025-02-03) with $1500 for 1 people, prefer Airbnb, focusing on photography.",8,2
start_date,"Looking for a 8-day solo getaway to Bangkok, around $3000, staying at a resort, mainly for photography, food, beaches.",2025-06-25,
end_date,"Looking for a 8-day solo getaway to Bangkok, around $3000, staying at a resort, mainly for photography, food, beaches.",2025-07-03,
trip_duration,"Looking for a 8-day solo getaway to Bangkok, around $3000, staying at a resort, mainly for photography, food, beaches.",8,
start_date,"I want a 8-day solo getaway to Bangkok, around $3000, booked in a resort, mainly for photography, food, beaches.",2025-06-25,
end_date,"I want a 8-day solo getaway to Bangkok, around $3000, booked in a resort, mainly for photography, food, beaches.",2025-07-03,
trip_duration,"I want a 8-day solo getaway to Bangkok, around $3000, booked in a resort, mainly for photography, food, beaches.",8,
start_date,"Looking for a 8-day solo getaway to Bangkok, about $3000, booked in a resort, mainly for photography, food, beaches.",2025-06-25,
end_date,"Looking for a 8-day solo getaway to Bangkok, about $3000, booked in a resort, mainly for photography, food, beaches.",2025-07-03,
trip_duration,"Looking for a 8-day solo getaway to Bangkok, about $3000, booked in a resort, mainly for photography, food, beaches.",8,
start_date,"Couple vacation to Cape Town (2025-05-04–2025-05-11) with $800 for 2 people, prefer villa, focusing on history, photography.",2025-05-04,2025-11-05
end_date,"Couple vacation to Cape Town (2025-05-04–2025-05-11) with $800 for 2 people, prefer villa, focusing on history, photography.",2025-05-11,2025-11-06
trip_duration,"Couple vacation to Cape Town (2025-05-04–2025-05-11) with $800 for 2 people, prefer villa, focusing on history, photography.",7,2
start_date,"Couple vacation to Cape Town (2025-05-04–2025-05-11) with $800 for 2 people, prefer villa, focusing on history, photography.",2025-05-04,2025-11-05
end_date,"Couple vacation to Cape Town (2025-05-04–2025-05-11) with $800 for 2 people, prefer villa, focusing on history, photography.",2025-05-11,2025-11-06
trip_duration,"Couple vacation to Cape Town (2025-05-04–2025-05-11) with $800 for 2 people, prefer villa, focusing on history, photography.",7,2
start_date,"Couple trip to Cape Town (2025-05-04–2025-05-11) with $800 for 2 people, prefer villa, focusing on history, photography.",2025-05-04,2025-11-05
end_date,"Couple trip to Cape Town (2025-05-04–2025-05-11) with $800 for 2 people, prefer villa, focusing on history, photography.",2025-05-11,2025-11-06
trip_duration,"Couple trip to Cape Town (2025-05-04–2025-05-11) with $800 for 2 people, prefer villa, focusing on history, photography.",7,2
start_date,"Solo vacation to London (2025-08-09–2025-08-13) with $2000 for 1 people, prefer hostel, focusing on hiking, shopping.",2025-08-09,2025-11-05
end_date,"Solo vacation to London (2025-08-09–2025-08-13) with $2000 for 1 people, prefer hostel, focusing on hiking, shopping.",2025-08-13,2025-11-06
trip_duration,"Solo vacation to London (2025-08-09–2025-08-13) with $2000 for 1 people, prefer hostel, focusing on hiking, shopping.",4,2
start_date,"Solo vacation to London (2025-08-09–2025-08-13) with $2000 for 1 people, prefer hostel, focusing on hiking, shopping.",2025-08-09,2025-11-05
end_date,"Solo vacation to London (2025-08-09–2025-08-13) with $2000 for 1 people, prefer hostel, focusing on hiking, shopping.",2025-08-13,2025-11-06
trip_duration,"Solo vacation to London (2025-08-09–2025-08-13) with $2000 for 1 people, prefer hostel, focusing on hiking, shopping.",4,2
start_date,"Solo vacation to London (2025-08-09–2025-08-13) with $2000 for 1 people, prefer hostel, focusing on hiking, shopping.",2025-08-09,2025-11-05
end_date,"Solo vacation to London (2025-08-09–2025-08-13) with $2000 for 1 people, prefer hostel, focusing on hiking, shopping.",2025-08-13,2025-11-06
trip_duration,"Solo vacation to London (2025-08-09–2025-08-13) with $2000 for 1 people, prefer hostel, focusing on hiking, shopping.",4,2
start_date,"Looking for a 5-day friends getaway to Paris, around $1200, staying at a Airbnb, mainly for relaxation.",2025-10-28,
end_date,"Looking for a 5-day friends getaway to Paris, around $1200, staying at a Airbnb, mainly for relaxation.",2025-11-02,
trip_duration,"Looking for a 5-day friends getaway to Paris, around $1200, staying at a Airbnb, mainly for relaxation.",5,
start_date,"I want a 5-day friends getaway to Paris, about $1200, booked in a Airbnb, mainly for relaxation.",2025-10-28,
end_date,"I want a 5-day friends getaway to Paris, about $1200, booked in a Airbnb, mainly for relaxation.",2025-11-02,
trip_duration,"I want a 5-day friends getaway to Paris, about $1200, booked in a Airbnb, mainly for relaxation.",5,
start_date,"Looking for a 5-day friends holiday to Paris, around $1200, staying at a Airbnb, mainly for relaxation.",2025-10-28,
end_date,"Looking for a 5-day friends holiday to Paris, around $1200, staying at a Airbnb, mainly for relaxation.",2025-11-02,
trip_duration,"Looking for a 5-day friends holiday to Paris, around $1200, staying at a Airbnb, mainly for relaxation.",5,
start_date,"Looking for a 5-day solo getaway to Rome, around $1200, staying at a villa, mainly for food, culture.",2025-04-15,
end_date,"Looking for a 5-day solo getaway to Rome, around $1200, staying at a villa, mainly for food, culture.",2025-04-20,
trip_duration,"Looking for a 5-day solo getaway to Rome, around $1200, staying at a villa, mainly for food, culture.",5,
start_date,"I want a 5-day solo getaway to Rome, about $1200, booked in a villa, mainly for food, culture.",2025-04-15,
end_date,"I want a 5-day solo getaway to Rome, about $1200, booked in a villa, mainly for food, culture.",2025-04-20,
trip_duration,"I want a 5-day solo getaway to Rome, about $1200, booked in a villa, mainly for food, culture.",5,
start_date,"Looking for a 5-day solo holiday to Rome, about $1200, staying at a villa, mainly for food, culture.",2025-04-15,
end_date,"Looking for a 5-day solo holiday to Rome, about $1200, staying at a villa, mainly for food, culture.",2025-04-20,
trip_duration,"Looking for a 5-day solo holiday to Rome, about $1200, staying at a villa, mainly for food, culture.",5,
start_date,"Looking for a 3-day couple getaway to Tokyo, around $2500, staying at a resort, mainly for art.",2025-05-19,
end_date,"Looking for a 3-day couple getaway to Tokyo, around $2500, staying at a resort, mainly for art.",2025-05-22,
trip_duration,"Looking for a 3-day couple getaway to Tokyo, around $2500, staying at a resort, mainly for art.",3,
start_date,"Looking for a 3-day couple getaway to Tokyo, about $2500, staying at a resort, mainly for art.",2025-05-19,
end_date,"Looking for a 3-day couple getaway to Tokyo, about $2500, staying at a resort, mainly for art.",2025-05-22,
trip_duration,"Looking for a 3-day couple getaway to Tokyo, about $2500, staying at a resort, mainly for art.",3,
start_date,"Looking for a 3-day couple getaway to Tokyo, around $2500, staying at a resort, mainly for art.",2025-05-19,
end_date,"Looking for a 3-day couple getaway to Tokyo, around $2500, staying at a resort, mainly for art.",2025-05-22,
trip_duration,"Looking for a 3-day couple getaway to Tokyo, around $2500, staying at a resort, mainly for art.",3,
start_date,"Solo vacation to Bali (2025-08-28–2025-09-01) with $1500 for 1 people, prefer hotel, focusing on nightlife, adventure.",2025-08-28,2025-11-05
end_date,"Solo vacation to Bali (2025-08-28–2025-09-01) with $1500 for 1 people, prefer hotel, focusing on nightlife, adventure.",2025-09-01,2025-11-06
trip_duration,"Solo vacation to Bali (2025-08-28–2025-09-01) with $1500 for 1 people, prefer hotel, focusing on nightlife, adventure.",4,2
start_date,"Solo vacation to Bali (2025-08-28–2025-09-01) with $1500 for 1 people, prefer hotel, focusing on nightlife, adventure.",2025-08-28,2025-11-05
end_date,"Solo vacation to Bali (2025-08-28–2025-09-01) with $1500 for 1 people, prefer hotel, focusing on nightlife, adventure.",2025-09-01,2025-11-06
trip_duration,"Solo vacation to Bali (2025-08-28–2025-09-01) with $1500 for 1 people, prefer hotel, focusing on nightlife, adventure.",4,2
start_date,"Solo trip to Bali (2025-08-28–2025-09-01) with $1500 for 1 people, prefer hotel, focusing on nightlife, adventure.",2025-08-28,2025-11-05
end_date,"Solo trip to Bali (2025-08-28–2025-09-01) with $1500 for 1 people, prefer hotel, focusing on nightlife, adventure.",2025-09-01,2025-11-06
trip_duration,"Solo trip to Bali (2025-08-28–2025-09-01) with $1500 for 1 people, prefer hotel, focusing on nightlife, adventure.",4,2
start_date,"Solo vacation to Paris (2025-02-26–2025-03-03) with $3000 for 1 people, prefer villa, focusing on wildlife, photography.",2025-02-26,2025-11-05
end_date,"Solo vacation to Paris (2025-02-26–2025-03-03) with $3000 for 1 people, prefer villa, focusing on wildlife, photography.",2025-03-03,2025-11-06
trip_duration,"Solo vacation to Paris (2025-02-26–2025-03-03) with $3000 for 1 people, prefer villa, focusing on wildlife, photography.",5,2
start_date,"Solo trip to Paris (2025-02-26–2025-03-03) with $3000 for 1 people, prefer villa, focusing on wildlife, photography.",2025-02-26,2025-11-05
end_date,"Solo trip to Paris (2025-02-26–2025-03-03) with $3000 for 1 people, prefer villa, focusing on wildlife, photography.",2025-03-03,2025-11-06
trip_duration,"Solo trip to Paris (2025-02-26–2025-03-03) with $3000 for 1 people, prefer villa, focusing on wildlife, photography.",5,2
start_date,"Solo vacation to Paris (2025-02-26–2025-03-03) with $3000 for 1 people, prefer villa, focusing on wildlife, photography.",2025-02-26,2025-11-05
end_date,"Solo vacation to Paris (2025-02-26–2025-03-03) with $3000 for 1 people, prefer villa, focusing on wildlife, photography.",2025-03-03,2025-11-06
trip_duration,"Solo vacation to Paris (2025-02-26–2025-03-03) with $3000 for 1 people, prefer villa, focusing on wildlife, photography.",5,2
start_date,"Looking for a 9-day friends getaway to Cape Town, around $3000, staying at a Airbnb, mainly for history, adventure.",2025-07-08,
end_date,"Looking for a 9-day friends getaway to Cape Town, around $3000, staying at a Airbnb, mainly for history, adventure.",2025-07-17,
trip_duration,"Looking for a 9-day friends getaway to Cape Town, around $3000, staying at a Airbnb, mainly for history, adventure.",9,
group_size,"Looking for a 9-day friends getaway to Cape Town, around $3000, staying at a Airbnb, mainly for history, adventure.",5,3
start_date,"I want a 9-day friends getaway to Cape Town, around $3000, staying at a Airbnb, mainly for history, adventure.",2025-07-08,
end_date,"I want a 9-day friends getaway to Cape Town, around $3000, staying at a Airbnb, mainly for history, adventure.",2025-07-17,
trip_duration,"I want a 9-day friends getaway to Cape Town, around $3000, staying at a Airbnb, mainly for history, adventure.",9,
group_size,"I want a 9-day friends getaway to Cape Town, around $3000, staying at a Airbnb, mainly for history, adventure.",5,3
start_date,"I want a 9-day friends getaway to Cape Town, around $3000, staying at a Airbnb, mainly for history, adventure.",2025-07-08,
end_date,"I want a 9-day friends getaway to Cape Town, around $3000, staying at a Airbnb, mainly for history, adventure.",2025-07-17,
trip_duration,"I want a 9-day friends getaway to Cape Town, around $3000, staying at a Airbnb, mainly for history, adventure.",9,
group_size,"I want a 9-day friends getaway to Cape Town, around $3000, staying at a Airbnb, mainly for history, adventure.",5,3
start_date,"Solo vacation to Bali (2025-09-22–2025-10-02) with $5000 for 1 people, prefer Airbnb, focusing on culture, art, shopping.",2025-09-22,2025-11-05
end_date,"Solo vacation to Bali (2025-09-22–2025-10-02) with $5000 for 1 people, prefer Airbnb, focusing on culture, art, shopping.",2025-10-02,2025-11-06
